# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Fri, 03 Apr 2026 03:00:58 +0200
#
# IP	number of (black)lists
#
2.27.53.96	9
27.79.46.22	9
43.228.104.170	9
80.82.77.139	9
87.251.64.141	9
213.209.159.159	9
216.57.110.81	9
2.57.121.25	8
2.57.121.112	8
2.57.122.197	8
2.57.122.238	8
14.63.217.28	8
27.111.32.174	8
35.237.94.18	8
45.148.10.121	8
45.148.10.141	8
45.227.254.170	8
80.66.66.70	8
80.94.92.171	8
82.24.64.32	8
91.224.92.50	8
92.118.39.56	8
92.118.39.72	8
92.118.39.76	8
92.118.39.95	8
93.174.95.106	8
103.175.207.96	8
114.111.54.188	8
142.93.167.198	8
163.7.1.156	8
163.7.8.90	8
165.154.227.162	8
167.94.146.49	8
167.94.146.61	8
182.23.36.166	8
187.210.77.100	8
193.32.162.151	8
193.46.255.86	8
201.76.120.30	8
213.112.126.21	8
213.209.159.158	8
220.80.223.144	8
2.57.121.17	7
2.57.121.69	7
2.57.121.86	7
2.57.122.191	7
2.57.122.193	7
2.57.122.196	7
2.59.22.234	7
12.156.67.18	7
14.63.196.175	7
18.116.101.220	7
18.218.118.203	7
23.94.213.157	7
34.93.128.179	7
35.222.117.243	7
35.240.75.51	7
36.64.68.99	7
36.93.249.106	7
41.59.86.232	7
43.156.159.195	7
43.164.1.207	7
43.165.171.180	7
45.66.228.237	7
45.148.10.147	7
45.148.10.152	7
45.156.128.101	7
45.169.200.254	7
46.30.161.197	7
51.75.194.10	7
62.193.106.227	7
65.49.1.80	7
66.132.172.98	7
66.132.172.187	7
66.132.186.197	7
66.132.195.43	7
66.132.195.105	7
71.6.135.131	7
80.82.77.33	7
80.94.95.216	7
80.253.31.232	7
89.231.40.49	7
91.92.243.49	7
91.132.163.213	7
92.27.157.252	7
92.154.95.236	7
92.205.56.196	7
92.205.57.72	7
93.71.118.99	7
95.167.225.76	7
101.47.158.137	7
102.88.137.80	7
103.243.24.124	7
110.35.80.116	7
114.219.157.97	7
115.85.80.12	7
116.34.14.135	7
121.229.191.90	7
125.20.210.182	7
125.21.59.218	7
129.159.149.21	7
136.228.161.66	7
138.197.125.49	7
138.204.127.54	7
139.59.112.10	7
147.182.194.60	7
150.223.20.12	7
152.32.135.217	7
154.221.27.234	7
